image_id,filename,gender,fitzpatrick skin type category,bi.fitz,country
1,0001_1_f_FL.jpg,Female,1,lighter,Finland
2,0002_1_f_FL.jpg,Female,1,lighter,Finland
3,0003_1_f_FL.jpg,Female,1,lighter,Finland
4,0004_1_f_FL.jpg,Female,1,lighter,Finland
5,0005_1_f_FL.jpg,Female,1,lighter,Finland
6,0006_2_f_FL.jpg,Female,2,lighter,Finland
7,0007_2_f_FL.jpg,Female,2,lighter,Finland
8,0008_1_f_FL.jpg,Female,1,lighter,Finland
9,0009_2_f_FL.jpg,Female,2,lighter,Finland
10,0010_2_f_FL.jpg,Female,2,lighter,Finland
11,0011_1_f_FL.jpg,Female,1,lighter,Finland
12,0012_1_f_FL.jpg,Female,1,lighter,Finland
13,0013_2_f_FL.jpg,Female,2,lighter,Finland
14,0014_1_f_FL.jpg,Female,1,lighter,Finland
15,0015_1_f_FL.jpg,Female,1,lighter,Finland
16,0016_3_f_FL.jpg,Female,3,lighter,Finland
17,0017_2_f_FL.jpg,Female,2,lighter,Finland
18,0018_1_f_FL.jpg,Female,1,lighter,Finland
19,0019_1_f_FL.jpg,Female,1,lighter,Finland
20,0020_1_f_FL.jpg,Female,1,lighter,Finland
21,0021_2_f_FL.jpg,Female,2,lighter,Finland
22,0022_2_f_FL.jpg,Female,2,lighter,Finland
23,0023_1_f_FL.jpg,Female,1,lighter,Finland
24,0024_2_f_FL.jpg,Female,2,lighter,Finland
25,0025_2_f_FL.jpg,Female,2,lighter,Finland
26,0026_3_f_FL.jpg,Female,3,lighter,Finland
27,0027_2_f_FL.jpg,Female,2,lighter,Finland
28,0028_1_f_FL.jpg,Female,1,lighter,Finland
29,0029_1_f_FL.jpg,Female,1,lighter,Finland
30,0030_2_f_FL.jpg,Female,2,lighter,Finland
31,0031_2_f_FL.jpg,Female,2,lighter,Finland
32,0032_2_m_FL.jpg,Male,2,lighter,Finland
33,0033_2_f_FL.jpg,Female,2,lighter,Finland
34,0034_1_f_FL.jpg,Female,1,lighter,Finland
35,0035_2_f_FL.jpg,Female,2,lighter,Finland
36,0036_1_f_FL.jpg,Female,1,lighter,Finland
37,0037_2_f_FL.jpg,Female,2,lighter,Finland
38,0038_1_f_FL.jpg,Female,1,lighter,Finland
39,0039_2_f_FL.jpg,Female,2,lighter,Finland
40,0040_2_f_FL.jpg,Female,2,lighter,Finland
41,0041_1_f_FL.jpg,Female,1,lighter,Finland
42,0042_2_f_FL.jpg,Female,2,lighter,Finland
43,0043_1_f_FL.jpg,Female,1,lighter,Finland
44,0044_2_f_FL.jpg,Female,2,lighter,Finland
45,0045_2_f_FL.jpg,Female,2,lighter,Finland
46,0046_1_f_FL.jpg,Female,1,lighter,Finland
47,0047_1_f_FL.jpg,Female,1,lighter,Finland
48,0048_1_f_FL.jpg,Female,1,lighter,Finland
49,0049_1_f_FL.jpg,Female,1,lighter,Finland
50,0050_2_f_FL.jpg,Female,2,lighter,Finland
51,0051_1_f_FL.jpg,Female,1,lighter,Finland
52,0052_1_f_FL.jpg,Female,1,lighter,Finland
53,0053_1_f_FL.jpg,Female,1,lighter,Finland
54,0054_2_f_FL.jpg,Female,2,lighter,Finland
55,0055_2_f_FL.jpg,Female,2,lighter,Finland
56,0056_2_f_FL.jpg,Female,2,lighter,Finland
57,0057_2_f_FL.jpg,Female,2,lighter,Finland
58,0058_3_f_FL.jpg,Female,3,lighter,Finland
59,0059_2_f_FL.jpg,Female,2,lighter,Finland
60,0060_2_f_FL.jpg,Female,2,lighter,Finland
61,0061_2_f_FL.jpg,Female,2,lighter,Finland
62,0062_2_f_FL.jpg,Female,2,lighter,Finland
63,0063_2_f_FL.jpg,Female,2,lighter,Finland
64,0064_2_f_FL.jpg,Female,2,lighter,Finland
65,0065_2_f_FL.jpg,Female,2,lighter,Finland
66,0066_3_f_FL.jpg,Female,3,lighter,Finland
67,0067_2_f_FL.jpg,Female,2,lighter,Finland
68,0068_3_f_FL.jpg,Female,3,lighter,Finland
69,0069_1_f_FL.jpg,Female,1,lighter,Finland
70,0070_2_f_FL.jpg,Female,2,lighter,Finland
71,0071_2_f_FL.jpg,Female,2,lighter,Finland
72,0072_3_f_FL.jpg,Female,3,lighter,Finland
73,0073_2_f_FL.jpg,Female,2,lighter,Finland
74,0074_3_f_FL.jpg,Female,3,lighter,Finland
75,0075_3_f_FL.jpg,Female,3,lighter,Finland
76,0076_3_f_FL.jpg,Female,3,lighter,Finland
77,0077_2_f_FL.jpg,Female,2,lighter,Finland
78,0078_3_f_FL.jpg,Female,3,lighter,Finland
79,0079_2_f_FL.jpg,Female,2,lighter,Finland
80,0080_3_f_FL.jpg,Female,3,lighter,Finland
81,0081_3_f_FL.jpg,Female,3,lighter,Finland
82,0082_3_f_FL.jpg,Female,3,lighter,Finland
83,0083_3_f_FL.jpg,Female,3,lighter,Finland
84,0084_4_f_FL.jpg,Female,4,darker,Finland
85,0085_2_m_FL.jpg,Male,2,lighter,Finland
86,0086_2_m_FL.jpg,Male,2,lighter,Finland
87,0087_2_m_FL.jpg,Male,2,lighter,Finland
88,0088_2_m_FL.jpg,Male,2,lighter,Finland
89,0089_2_m_FL.jpg,Male,2,lighter,Finland
90,0090_1_m_FL.jpg,Male,1,lighter,Finland
91,0091_2_m_FL.jpg,Male,2,lighter,Finland
92,0092_2_m_FL.jpg,Male,2,lighter,Finland
93,0093_2_m_FL.jpg,Male,2,lighter,Finland
94,0094_1_m_FL.jpg,Male,1,lighter,Finland
95,0095_2_m_FL.jpg,Male,2,lighter,Finland
96,0096_1_m_FL.jpg,Male,1,lighter,Finland
97,0097_2_m_FL.jpg,Male,2,lighter,Finland
98,0098_2_m_FL.jpg,Male,2,lighter,Finland
99,0099_2_m_FL.jpg,Male,2,lighter,Finland
100,0100_2_m_FL.jpg,Male,2,lighter,Finland
101,0101_2_m_FL.jpg,Male,2,lighter,Finland
102,0102_1_m_FL.jpg,Male,1,lighter,Finland
103,0103_2_m_FL.jpg,Male,2,lighter,Finland
104,0104_2_m_FL.jpg,Male,2,lighter,Finland
105,0105_2_m_FL.jpg,Male,2,lighter,Finland
106,0106_1_m_FL.jpg,Male,1,lighter,Finland
107,0107_2_m_FL.jpg,Male,2,lighter,Finland
108,0108_2_m_FL.jpg,Male,2,lighter,Finland
109,0109_2_m_FL.jpg,Male,2,lighter,Finland
110,0110_2_m_FL.jpg,Male,2,lighter,Finland
111,0111_2_m_FL.jpg,Male,2,lighter,Finland
112,0112_2_m_FL.jpg,Male,2,lighter,Finland
113,0113_1_m_FL.jpg,Male,1,lighter,Finland
114,0114_2_m_FL.jpg,Male,2,lighter,Finland
115,0115_2_m_FL.jpg,Male,2,lighter,Finland
116,0116_2_m_FL.jpg,Male,2,lighter,Finland
117,0117_1_m_FL.jpg,Male,1,lighter,Finland
118,0118_2_m_FL.jpg,Male,2,lighter,Finland
119,0119_2_m_FL.jpg,Male,2,lighter,Finland
120,0120_1_m_FL.jpg,Male,1,lighter,Finland
121,0121_2_m_FL.jpg,Male,2,lighter,Finland
122,0122_2_m_FL.jpg,Male,2,lighter,Finland
123,0123_1_m_FL.jpg,Male,1,lighter,Finland
124,0124_2_m_FL.jpg,Male,2,lighter,Finland
125,0125_2_m_FL.jpg,Male,2,lighter,Finland
126,0126_2_m_FL.jpg,Male,2,lighter,Finland
127,0127_2_m_FL.jpg,Male,2,lighter,Finland
128,0128_2_m_FL.jpg,Male,2,lighter,Finland
129,0129_2_m_FL.jpg,Male,2,lighter,Finland
130,0130_2_m_FL.jpg,Male,2,lighter,Finland
131,0131_1_m_FL.jpg,Male,1,lighter,Finland
132,0132_2_m_FL.jpg,Male,2,lighter,Finland
133,0133_2_m_FL.jpg,Male,2,lighter,Finland
134,0134_3_m_FL.jpg,Male,3,lighter,Finland
135,0135_1_m_FL.jpg,Male,1,lighter,Finland
136,0136_2_m_FL.jpg,Male,2,lighter,Finland
137,0137_2_m_FL.jpg,Male,2,lighter,Finland
138,0138_2_m_FL.jpg,Male,2,lighter,Finland
139,0139_2_m_FL.jpg,Male,2,lighter,Finland
140,0140_2_m_FL.jpg,Male,2,lighter,Finland
141,0141_3_m_FL.jpg,Male,3,lighter,Finland
142,0142_2_m_FL.jpg,Male,2,lighter,Finland
143,0143_1_m_FL.jpg,Male,1,lighter,Finland
144,0144_2_m_FL.jpg,Male,2,lighter,Finland
145,0145_1_m_FL.jpg,Male,1,lighter,Finland
146,0146_2_m_FL.jpg,Male,2,lighter,Finland
147,0147_2_m_FL.jpg,Male,2,lighter,Finland
148,0148_1_m_FL.jpg,Male,1,lighter,Finland
149,0149_2_m_FL.jpg,Male,2,lighter,Finland
150,0150_2_m_FL.jpg,Male,2,lighter,Finland
151,0151_3_m_FL.jpg,Male,3,lighter,Finland
152,0152_1_m_FL.jpg,Male,1,lighter,Finland
